Food_Item,Recipe
adhirasam,1. Melt jaggery with water and strain to remove impurities. 2. Add the jaggery syrup to the rice flour and mix well. 3. Add ghee and knead into a soft dough. 4. Let the dough rest for 2-3 days (traditional method). 5. Shape into small round discs with a hole in the center. 6. Deep fry on low heat until golden brown.
aloo_gobi,"1. Cut cauliflower into small florets and potatoes into cubes. 2. Heat oil in a pan, add cumin seeds. 3. Add chopped ginger, garlic, and green chilies. 4. Add tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add potatoes and cook for 5 minutes. 7. Add cauliflower and mix well. 8. Cover and cook on low heat for 15-20 minutes until vegetables are tender. 9. Garnish with fresh coriander leaves."
aloo_matar,"1. Peel and cube potatoes into 1-inch pieces. 2. Heat oil in a pan, add cumin seeds. 3. Add chopped onions and sauté until golden brown. 4. Add ginger-garlic paste and sauté for 1 minute. 5. Add chopped tomatoes and cook until soft. 6. Add turmeric, red chili powder, coriander powder, and salt. 7. Add potatoes and cook for 5 minutes. 8. Add green peas and 1 cup water. 9. Cover and cook until potatoes are tender and gravy thickens. 10. Sprinkle garam masala and garnish with fresh coriander leaves."
aloo_methi,"1. Wash and chop fenugreek leaves finely. 2. Peel and cube potatoes into small pieces. 3. Heat oil in a pan, add cumin seeds and asafoetida. 4. Add potatoes and sauté for 5 minutes. 5. Add turmeric powder, red chili powder, and salt. 6. Cover and cook until potatoes are half-done. 7. Add chopped fenugreek leaves and mix well. 8. Cover and cook on low heat until potatoes are tender and methi is wilted. 9. Add amchur powder, mix well and serve hot."
aloo_shimla_mirch,"1. Peel and cube potatoes into small pieces. 2. Cut bell peppers into squares. 3. Heat oil in a pan, add cumin seeds. 4. Add potatoes and sauté for 5 minutes. 5. Add turmeric powder, red chili powder, coriander powder, and salt. 6. Cover and cook until potatoes are half-done. 7. Add bell peppers and mix well. 8. Cover and cook on medium heat until potatoes are tender and bell peppers are cooked but still crunchy. 9. Add amchur powder, mix well. 10. Garnish with fresh coriander leaves and serve hot."
aloo_tikki,"1. Boil, peel and mash potatoes. 2. Coarsely mash the boiled green peas. 3. Mix potatoes, peas, ginger, green chilies, coriander leaves, and all spices. 4. Add cornflour and mix well. 5. Divide the mixture into equal portions and shape into flat round patties. 6. Coat each patty with bread crumbs. 7. Heat oil in a pan and shallow fry the tikkis on medium heat until golden brown on both sides. 8. Serve hot with mint chutney and tamarind chutney."
anarsa,"1. Wash rice and soak for 3 hours, then drain and dry in shade for 2 hours. 2. Grind into fine powder. 3. Mix rice powder with melted jaggery and knead into a soft dough. 4. Add cardamom powder and ghee, mix well. 5. Let the dough rest for 2-3 hours. 6. Shape into small flat rounds. 7. Press one side into poppy seeds. 8. Heat oil and deep fry on low heat until golden brown. 9. Drain on paper towels and store in an airtight container when completely cool."
ariselu,"1. Dry roast rice flour until aromatic but not brown. 2. Melt jaggery with 1/4 cup water and strain to remove impurities. 3. Mix jaggery syrup with rice flour, cardamom powder, and sesame seeds. 4. Add ghee and knead into a soft dough. 5. Divide into equal portions and shape into flat rounds. 6. Heat oil on medium-low and deep fry until golden brown. 7. Drain on paper towels and store in an airtight container when completely cool."
bandar_laddu,"1. Heat ghee in a heavy-bottomed pan. 2. Add besan and roast on low heat until aromatic and light brown. 3. Add sugar and mix well until sugar melts. 4. Add cardamom powder, cashew nuts, and raisins. 5. Mix well and remove from heat. 6. While still warm, shape into large round laddus. 7. Allow to cool completely before serving."
basundi,"1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer, stirring occasionally to prevent sticking. 3. Scrape the sides and add the cream back to the milk. 4. Continue to simmer until milk reduces to half its volume. 5. Add sugar and mix until dissolved. 6. Add cardamom powder, saffron strands, and half of the nuts. 7. Simmer for another 5 minutes. 8. Remove from heat, add rose water. 9. Garnish with remaining nuts. 10. Serve chilled or warm."
bhatura,"1. Mix flour, semolina, baking soda, baking powder, sugar, and salt in a bowl. 2. Add yogurt and 2 tbsp oil, mix well. 3. Add water as needed to form a soft dough. 4. Knead for 5-7 minutes until smooth. 5. Cover and let rest for 2-3 hours. 6. Divide into small balls and roll into oval or round shapes. 7. Heat oil for deep frying. 8. Slide one bhatura into hot oil, press gently with a slotted spoon to help it puff. 9. Fry until golden brown on both sides. 10. Drain on paper towels and serve hot with chole."
bhindi_masala,"1. Wash okra and dry completely. Trim ends and cut into 1-inch pieces. 2. Heat oil in a pan, add cumin seeds. 3. Add chopped onions and sauté until golden brown. 4. Add ginger-garlic paste and sauté for 1 minute. 5. Add chopped tomatoes and cook until soft. 6. Add turmeric, red chili powder, coriander powder, and salt. 7. Add okra and mix well. 8. Cook on medium heat, stirring occasionally until okra is tender. 9. Add garam masala and amchur powder. 10. Garnish with fresh coriander leaves and serve hot."
biryani,"1. Soak rice for 30 minutes and parboil with whole spices. 2. Marinate meat/vegetables with yogurt and spices for 1 hour. 3. In a heavy-bottomed pan, heat oil and ghee. 4. Add sliced onions and fry until golden brown. 5. Add ginger-garlic paste and sauté. 6. Add marinated meat/vegetables and cook for 10-15 minutes. 7. Layer the parboiled rice over the meat/vegetables. 8. Sprinkle saffron milk, mint, and coriander leaves. 9. Cover with a tight lid and cook on low heat for 20-25 minutes. 10. Mix gently before serving."
boondi,"1. Mix gram flour with water to make a smooth flowing batter. 2. Heat oil in a deep pan. 3. Hold a perforated ladle over the hot oil and pour batter over it. 4. The batter will fall through the holes forming small droplets (boondi). 5. Fry until golden and crisp. 6. Drain and set aside. 7. Make sugar syrup by boiling sugar with 1 cup water until it reaches one-string consistency. 8. Add cardamom powder, saffron, and food color to the syrup. 9. Add fried boondi to the warm syrup and mix gently. 10. Add ghee and mix. 11. Allow to cool and shape into balls or serve loose."
butter_chicken,"1. Marinate chicken in yogurt, salt, red chili powder, and ginger-garlic paste for 2 hours. 2. Grill or tandoor the chicken until 3/4th done. 3. For the gravy, heat butter in a pan. 4. Add chopped onions and sauté until translucent. 5. Add chopped tomatoes and cashew nuts, cook until soft. 6. Cool and blend into a smooth paste. 7. Heat butter again, add the paste and spices. 8. Add grilled chicken pieces and simmer for 10 minutes. 9. Add cream, honey, and dried fenugreek leaves. 10. Simmer for 5 more minutes and serve hot."
chak_hao_kheer,"1. Wash and soak black rice for 4-6 hours. 2. Drain and cook rice in 2 cups of water until soft. 3. In a heavy-bottomed pan, bring milk to a boil. 4. Add cooked rice and simmer on low heat, stirring occasionally. 5. Cook until milk reduces to half and mixture thickens. 6. Add sugar and mix until dissolved. 7. Add cardamom powder and half of the nuts. 8. Simmer for another 5 minutes. 9. Remove from heat and let cool. 10. Garnish with remaining nuts and serve chilled."
cham_cham,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Shape into oval cylinders. 6. Make sugar syrup by boiling sugar with water, cardamom pods, and saffron. 7. Add the shaped chenna to the boiling syrup. 8. Cover and cook for 15-20 minutes. 9. Add rose water and food color if using. 10. Cool and refrigerate for a few hours. 11. Roll in grated coconut before serving."
chana_masala,"1. Pressure cook soaked chickpeas with salt until soft. 2. Heat oil in a pan, add cumin seeds. 3. Add finely chopped onions and sauté until golden brown. 4. Add ginger, garlic, and green chilies, sauté for 1 minute. 5. Add chopped tomatoes and cook until oil separates. 6. Add all spice powders and mix well. 7. Add cooked chickpeas with some water and simmer for 10 minutes. 8. Mash some chickpeas to thicken the gravy. 9. Garnish with fresh coriander leaves and serve hot."
chapati,"1. Mix flour and salt in a bowl. 2. Add water gradually and knead into a soft dough. 3. Cover and let rest for 15-30 minutes. 4. Divide into small balls. 5. Roll each ball into a thin circle. 6. Heat a tawa/griddle and place the rolled chapati on it. 7. When small bubbles appear, flip and cook the other side. 8. Place directly on flame until it puffs up. 9. Remove and brush with ghee. 10. Serve hot."
chhena_kheeri,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chhena) and rinse with cold water. 3. Crumble the chhena and set aside. 4. In a heavy-bottomed pan, bring remaining milk to a boil. 5. Reduce heat and simmer until it reduces to half. 6. Add sugar and mix until dissolved. 7. Add crumbled chhena and mix well. 8. Add cardamom powder and saffron. 9. Simmer for 10-15 minutes until thickened. 10. Garnish with nuts and serve warm or chilled."
chicken_razala,"1. Marinate chicken with yogurt, salt, and turmeric for 1 hour. 2. Soak poppy seeds and cashew nuts in warm water for 30 minutes. 3. Grind soaked poppy seeds and cashews into a smooth paste. 4. Heat oil and ghee in a pan, add sliced onions and fry until golden brown. 5. Add ginger-garlic paste and sauté for 1 minute. 6. Add all spice powders and mix well. 7. Add marinated chicken and cook on high heat for 5 minutes. 8. Add the poppy seed-cashew paste and mix well. 9. Add water if needed, cover and cook until chicken is tender. 10. Garnish with fresh coriander leaves and serve hot."
chicken_tikka,"1. Cut chicken into 1-inch cubes. 2. Mix yogurt, lemon juice, ginger-garlic paste, and all spices in a bowl. 3. Add chicken pieces and marinate for at least 4 hours, preferably overnight. 4. Thread marinated chicken onto skewers. 5. Preheat oven to 400°F (200°C). 6. Place skewers on a baking tray and brush with oil. 7. Bake for 15-20 minutes, turning halfway through and basting with butter. 8. Alternatively, grill on a barbecue or tandoor. 9. Sprinkle with chaat masala and serve hot with mint chutney."
chicken_tikka_masala,"1. Prepare chicken tikka as per the recipe above. 2. Heat butter in a pan, add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté for 1 minute. 4. Add chopped tomatoes and cook until soft and oil separates. 5. Cool and blend into a smooth paste. 6. Return paste to the pan, add red chili powder, turmeric powder, and salt. 7. Add grilled chicken tikka pieces and mix well. 8. Simmer for 5-7 minutes until gravy thickens. 9. Add cream, garam masala, and dried fenugreek leaves. 10. Simmer for another 5 minutes. 11. Garnish with fresh coriander leaves and serve hot with naan or rice."
chikki,"1. Coarsely crush the roasted peanuts. 2. Heat a heavy-bottomed pan and add jaggery. 3. Melt jaggery on low heat, stirring continuously. 4. To check if jaggery is ready, drop a small amount in cold water. It should form a hard ball. 5. Add cardamom powder and crushed peanuts to the melted jaggery. 6. Mix well and remove from heat. 7. Grease a flat surface or plate with ghee. 8. Pour the mixture onto the greased surface. 9. Roll into a thin sheet using a greased rolling pin. 10. Cut into squares or diamonds while still warm. 11. Allow to cool completely before separating the pieces."
daal_baati_churma,"1. For Baati: Mix flour, semolina, salt, and ghee. Add water to form a stiff dough. Divide into balls, make a dent in center. Bake at 350°F for 25-30 minutes or cook on coal/wood fire. Dip hot baatis in ghee. 2. For Dal: Pressure cook lentils with turmeric and salt. Heat ghee, add cumin seeds and asafoetida. Add ginger-garlic paste, green chilies, and tomatoes. Cook until oil separates. Add cooked dal and spices. Simmer for 10 minutes. 3. For Churma: Mix flour and ghee, form crumbly mixture. Bake until golden. Crush coarsely, add sugar and cardamom powder. 4. Serve hot dal with baati and churma on the side."
daal_puri,"1. For Filling: Wash and soak dal for 2 hours. Pressure cook until soft. Mash coarsely. Heat oil, add cumin seeds and asafoetida. Add ginger, green chilies, and spices. Add mashed dal and cook until mixture is dry. Cool completely. 2. For Dough: Mix flour, salt, and oil. Add water to form a soft dough. Cover and rest for 30 minutes. 3. Divide dough into small balls. Roll each ball into a small circle. Place a spoonful of filling in the center. Bring edges together and seal. Roll again gently into a circle. 4. Heat oil and deep fry until golden brown on both sides. 5. Drain on paper towels and serve hot with chutney."
dal_makhani,"1. Soak black gram and kidney beans overnight, then pressure cook until soft. 2. Heat butter in a pan, add cumin seeds. 3. Add finely chopped onions and sauté until golden brown. 4. Add ginger, garlic, and green chili paste, sauté for 1 minute. 5. Add chopped tomatoes and cook until oil separates. 6. Add cooked lentils, salt, and spices. 7. Simmer on low heat for 30 minutes, stirring occasionally. 8. Add cream and more butter, simmer for another 10 minutes. 9. Garnish with fresh coriander leaves and serve hot."
dal_tadka,"1. Wash and pressure cook dal with turmeric until soft. 2. Mash the dal slightly. 3. For tadka (tempering), heat ghee in a pan. 4. Add cumin seeds, mustard seeds, and asafoetida. 5. When seeds splutter, add dried red chilies and curry leaves. 6. Add minced garlic, ginger, green chilies, and chopped onion. 7. Sauté until onion is golden brown. 8. Add chopped tomato and cook until soft. 9. Add red chili powder and salt. 10. Pour this tadka over the cooked dal. 11. Simmer for 5 minutes. 12. Garnish with fresh coriander leaves and serve hot."
dharwad_pedha,"1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer, stirring continuously. 3. Scrape the sides and add the cream back to the milk. 4. Continue to simmer until milk solids separate and mixture thickens. 5. Add sugar and mix until dissolved. 6. Add cardamom powder, saffron, and ghee. 7. Continue cooking until mixture forms a soft dough-like consistency. 8. Remove from heat and allow to cool slightly. 9. While still warm, shape into small flat rounds. 10. Press a pattern on top using a mold or fork. 11. Allow to cool completely before serving."
doodhpak,"1. Wash and soak rice for 30 minutes. 2. Boil milk in a heavy-bottomed pan. 3. Add soaked rice and cook on low heat until rice is soft and milk thickens. 4. Add sugar and mix until dissolved. 5. Add cardamom powder, saffron strands, and half of the nuts. 6. Simmer for another 5 minutes. 7. Remove from heat, add rose water. 8. Garnish with remaining nuts. 9. Serve warm or chilled."
double_ka_meetha,"1. Cut bread slices into triangles or squares. 2. Heat ghee in a pan and fry bread pieces until golden brown. 3. Drain on paper towels and set aside. 4. In a separate pan, heat milk and add sugar. 5. Add crushed cardamom pods and saffron strands. 6. Simmer until milk reduces by one-third and thickens slightly. 7. Add rose water and remove from heat. 8. Arrange fried bread pieces in a serving dish. 9. Pour the warm milk mixture over the bread. 10. Garnish with sliced almonds and pistachios. 11. Let it soak for at least 30 minutes before serving."
dum_aloo,"1. Boil baby potatoes until just tender. Peel and prick all over with a fork. 2. Heat oil and fry potatoes until golden brown. Drain and set aside. 3. In the same oil, add cumin and fennel seeds. 4. Add chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add all spice powders and salt, mix well. 8. Add yogurt and cook until oil separates. 9. Add fried potatoes and 1 cup water. 10. Cover and simmer on low heat for 15-20 minutes. 11. Add ghee and garam masala. 12. Garnish with fresh coriander leaves and serve hot."
gajar_ka_halwa,"1. Heat ghee in a heavy-bottomed pan. 2. Add grated carrots and sauté for 5 minutes. 3. Add milk and bring to a boil. 4. Reduce heat and simmer, stirring occasionally until milk evaporates and carrots are cooked. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and half of the nuts and raisins. 7. Continue cooking until the mixture thickens and ghee separates from the sides. 8. Remove from heat and garnish with remaining nuts. 9. Serve warm or cold."
gavvalu,"1. Mix rice flour with a pinch of salt and enough warm water to form a firm dough. 2. Cover and let rest for 15 minutes. 3. Take small portions of the dough and roll into thin ropes. 4. Cut into small pieces and shape each piece into a tiny shell or ear shape (gavvalu). 5. Heat oil and deep fry the gavvalu until golden brown. 6. In a separate pan, melt jaggery with 1/4 cup water and strain to remove impurities. 7. Add cardamom powder and sesame seeds to the jaggery syrup. 8. Add fried gavvalu to the hot syrup and mix gently until coated. 9. Allow to cool before serving."
ghevar,"1. Mix flour and ghee until crumbly. 2. Add milk and water to form a thin batter. 3. Heat ghee in a round mold or pan. 4. Pour the batter in a thin stream into the hot ghee, starting from the center and moving outward in a spiral. 5. Fry until golden brown and crisp. 6. Remove and drain excess ghee. 7. Make sugar syrup by boiling sugar and water with cardamom and saffron until it reaches one-string consistency. 8. Pour warm syrup over the ghevar. 9. Garnish with nuts and silver foil if using. 10. Allow to cool before serving."
gulab_jamun,"1. For sugar syrup, boil sugar and water with cardamom pods until slightly sticky. Add rose water and keep warm. 2. Mix milk powder, flour, and baking soda. 3. Add ghee and knead, gradually adding milk to form a soft dough. 4. Let the dough rest for 10 minutes. 5. Divide into small balls, ensuring no cracks. 6. Heat oil on medium-low and deep fry the balls until golden brown. 7. Immediately transfer the hot jamuns into the warm sugar syrup. 8. Allow to soak for at least 2 hours before serving."
imarti,"1. Wash and soak urad dal for 4-6 hours. 2. Drain and grind into a smooth paste adding minimal water. 3. Beat the batter for 10-15 minutes until light and fluffy. 4. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 5. Add cardamom powder, saffron, and food color to the syrup. 6. Fill the batter in a cloth or plastic bag with a small hole or use an imarti maker. 7. Heat ghee in a pan. 8. Squeeze the batter directly into hot ghee in spiral flower patterns. 9. Fry until crisp and golden. 10. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 11. Remove from syrup and serve."
jalebi,"1. Mix flour, yogurt, baking soda, and turmeric powder. Add water to make a flowing batter. 2. Ferment the batter for 8-12 hours. 3. For sugar syrup, boil sugar and water with saffron, cardamom powder. Add lemon juice and rose water. 4. Fill the batter in a cloth or plastic bag with a small hole. 5. Heat ghee in a pan, squeeze the batter in circular motions to form spirals. 6. Fry until crisp and golden. 7. Immediately soak in warm sugar syrup for 2-3 minutes. 8. Remove and serve warm or at room temperature."
kachori,"1. For Filling: Wash and soak moong dal for 2 hours. Drain and coarsely grind. Dry roast and grind fennel, cumin, and coriander seeds. Heat oil, add asafoetida, ginger, and green chilies. Add ground dal and spices. Cook until mixture is dry. Cool completely. 2. For Dough: Mix flour, salt, and ghee. Add water to form a firm dough. Cover and rest for 30 minutes. 3. Divide dough into small balls. Roll each ball into a small circle. Place a spoonful of filling in the center. Bring edges together and seal. Flatten slightly with palm. 4. Heat oil and deep fry kachoris on medium heat until golden brown and crisp. 5. Drain on paper towels and serve hot with tamarind or mint chutney."
kadai_paneer,"1. For kadai masala, dry roast coriander seeds, cumin seeds, and dry red chilies. Grind to a powder. 2. Cut paneer into cubes and bell peppers into squares. 3. Heat oil and butter in a kadai or pan. 4. Add chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, kadai masala, and salt. 8. Add paneer cubes and bell peppers, mix gently. 9. Cook for 5-7 minutes on medium heat. 10. Add garam masala and mix. 11. Garnish with fresh coriander leaves and serve hot."
kadhi_pakoda,"1. For Pakodas: Mix gram flour with chopped onions, green chilies, ginger, cumin seeds, turmeric, red chili powder, and salt. Add water to make a thick batter. Heat oil and drop spoonfuls of batter. Fry until golden brown. Drain and set aside. 2. For Kadhi: Whisk yogurt and gram flour until smooth. Add 4 cups water, turmeric, red chili powder, and salt. Heat ghee in a pan, add cumin seeds, mustard seeds, and fenugreek seeds. When they splutter, add dried red chilies, curry leaves, ginger, garlic, and green chilies. Add asafoetida and the yogurt mixture. Bring to a boil, then simmer for 15-20 minutes, stirring occasionally. 3. Add fried pakodas to the kadhi and simmer for another 5 minutes. 4. Garnish with fresh coriander leaves and serve hot with rice."
kajjikaya,"1. Mix rice flour with a pinch of salt, 2 tbsp ghee, and enough warm water to form a firm dough. Cover and let rest for 15 minutes. 2. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 3. Divide dough into small balls. Roll each ball into a thin circle. 4. Place a spoonful of filling in the center. Fold into a half-moon shape and seal the edges. 5. Crimp the edges decoratively. 6. Heat oil and deep fry until golden brown. 7. Drain on paper towels and serve when cool."
