Food_Item,Recipe
kakinada_khaja,"1. Mix flour with a pinch of salt and 2 tbsp ghee. Add water gradually to form a firm dough. 2. Cover and let rest for 30 minutes. 3. Divide the dough into small balls. 4. Roll each ball into a thin rectangle. 5. Apply a thin layer of ghee, fold, and roll again. Repeat this process 3-4 times. 6. Cut into small squares or diamonds. 7. Heat oil and deep fry until golden brown and crisp. 8. Make sugar syrup by boiling sugar with 1 cup water and cardamom powder until it reaches one-string consistency. 9. Dip fried khajas in hot syrup for 2-3 minutes. 10. Remove and allow to cool before serving."
kalakand,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Transfer the chenna to a heavy-bottomed pan. 4. Add sugar and mix well. 5. Cook on low heat, stirring continuously until the mixture thickens and starts leaving the sides of the pan. 6. Add cardamom powder and mix. 7. Grease a plate or tray with ghee. 8. Spread the mixture evenly on the greased plate. 9. Garnish with chopped pistachios and almonds. 10. Allow to cool and set for 2-3 hours. 11. Cut into squares and serve."
karela_bharta,"1. Wash karela and scrape the outer skin lightly. Cut into halves lengthwise and remove seeds. 2. Chop into small pieces and boil with salt until tender. Drain and mash coarsely. 3. Heat oil in a pan, add cumin seeds. 4. Add chopped onions and sauté until golden brown. 5. Add ginger, garlic, and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Add mashed karela and mix well. 9. Cook for 5-7 minutes on medium heat. 10. Add garam masala and amchur powder. 11. Garnish with fresh coriander leaves and serve hot."
kofta,"1. For Kofta: Boil, peel and mash potatoes. Grate or crumble paneer. Mix potatoes, paneer, peas, ginger, green chilies, coriander leaves, cornflour, garam masala, red chili powder, and salt. Shape into balls. Heat oil and deep fry until golden brown. Drain and set aside. 2. For Gravy: Soak cashew nuts in warm water for 30 minutes. Blend onions to a paste. Blend tomatoes and soaked cashews to a smooth paste. Heat oil and butter in a pan. Add onion paste and sauté until golden. Add ginger-garlic paste and sauté for 1 minute. Add tomato-cashew paste and spices. Cook until oil separates. Add 1 cup water and bring to a boil. Simmer for 5 minutes. Add cream and kasuri methi. 3. Add fried koftas just before serving to prevent them from breaking. 4. Garnish with cream and serve hot with naan or rice."
kuzhi_paniyaram,"1. Heat 2 tbsp oil in a pan, add mustard seeds. 2. When they splutter, add urad dal and chana dal. 3. Add chopped ginger, green chilies, curry leaves, and asafoetida. 4. Add chopped onions and sauté until translucent. 5. Remove from heat and cool. 6. Add this tempering to the idli/dosa batter along with salt and mix well. 7. Heat a paniyaram pan and add a few drops of oil in each mold. 8. Pour the batter into each mold until 3/4th full. 9. Cover and cook on low heat for 3-4 minutes. 10. Flip and cook the other side until golden brown. 11. Remove and serve hot with coconut chutney or sambar."
lassi,"1. In a blender, add yogurt, sugar, water, cardamom powder, and saffron if using. 2. Blend until smooth and frothy. 3. Add ice cubes and blend again. 4. Pour into glasses. 5. Garnish with mint leaves and serve chilled."
ledikeni,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Add a few drops of red food color if using and knead again. 6. Shape into oval cylinders. 7. Make sugar syrup by boiling sugar with water, cardamom pods, and saffron. 8. Heat oil and deep fry the shaped chenna on low heat until golden brown. 9. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 10. Add rose water to the syrup. 11. Allow to soak for at least 2 hours before serving."
litti_chokha,"1. For Litti: Mix flour, ghee, ajwain, and salt. Add water to form a firm dough. Cover and rest for 30 minutes. For filling, mix sattu with finely chopped onion, ginger, green chilies, garlic, mustard oil, lemon juice, pickle masala, and salt. Add water if needed to make a crumbly mixture. Divide dough into balls. Flatten each ball, place filling in center, and seal to form a stuffed ball. Bake in a preheated oven at 350°F for 20-25 minutes or cook on coal/wood fire. Brush with ghee. 2. For Chokha: Roast eggplant, potatoes, and tomatoes directly on flame until skin is charred and inside is soft. Peel and mash. Add finely chopped onion, green chilies, ginger, garlic, mustard oil, lemon juice, and salt. Mix well and garnish with fresh coriander leaves. 3. Serve hot litti with chokha."
lyangcha,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Add flour and baking powder, knead again until well combined. 6. Shape into cylindrical logs about 3 inches long. 7. Make sugar syrup by boiling sugar with water, cardamom pods, and saffron. 8. Heat oil and deep fry the shaped chenna on low heat until golden brown. 9. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 10. Add rose water to the syrup. 11. Allow to soak for at least 2 hours before serving."
maach_jhol,"1. Clean fish and cut into medium-sized pieces. 2. Marinate fish with salt and 1/2 tsp turmeric powder for 15 minutes. 3. Heat mustard oil in a pan until it reaches smoking point, then reduce heat. 4. Fry fish pieces until golden brown on both sides. Remove and set aside. 5. In the same oil, add cumin seeds. 6. Add finely chopped onions and sauté until golden brown. 7. Add ginger-garlic paste and green chilies, sauté for 1 minute. 8. Add chopped tomatoes and cook until soft. 9. Add remaining turmeric, red chili powder, coriander powder, cumin powder, and salt. 10. Add 2 cups water and bring to a boil. 11. Add fried fish pieces and simmer for 5-7 minutes. 12. Garnish with fresh coriander leaves and serve hot with rice."
makki_di_roti_sarson_da_saag,"1. For Sarson da Saag: Wash all greens thoroughly. Chop and pressure cook with ginger, garlic, and green chilies until soft. Blend coarsely. Heat ghee in a pan, add cumin seeds. Add chopped onions and sauté until golden. Add chopped tomatoes and cook until soft. Add blended greens, cornmeal, red chili powder, and salt. Simmer for 15-20 minutes, stirring occasionally. 2. For Makki di Roti: Mix cornmeal with salt and enough water to form a firm dough. Divide into balls. Take a ball, flatten slightly, and place on a greased plastic sheet. Pat and spread into a round roti using wet fingers. Carefully transfer to a hot tawa/griddle. Cook until brown spots appear on both sides. Apply ghee. 3. Serve hot makki di roti with sarson da saag topped with a dollop of butter or ghee."
malapua,"1. Mix flour, semolina, mashed banana, fennel seeds, cardamom powder, and baking powder in a bowl. 2. Add milk gradually to form a thick batter. 3. Let the batter rest for 1-2 hours. 4. Make sugar syrup by boiling sugar with water and saffron until it reaches one-string consistency. 5. Heat ghee in a pan. 6. Pour a ladleful of batter and spread slightly to form a small pancake. 7. Fry on medium heat until golden brown on both sides. 8. Remove and immediately soak in warm sugar syrup for 1-2 minutes. 9. Garnish with chopped pistachios and serve warm or at room temperature."
misi_roti,"1. Mix whole wheat flour, gram flour, finely chopped onion, green chilies, ginger, ajwain, red chili powder, coriander powder, garam masala, fresh coriander leaves, salt, and ghee in a bowl. 2. Add water gradually and knead into a firm dough. 3. Cover and let rest for 15-30 minutes. 4. Divide into small balls. 5. Roll each ball into a thick circle. 6. Heat a tawa/griddle and place the rolled roti on it. 7. Cook until small bubbles appear, flip and cook the other side. 8. Apply ghee on both sides and cook until brown spots appear. 9. Serve hot with yogurt, pickle, or vegetable curry."
misti_doi,"1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer until milk reduces to half its volume. 3. Add sugar and jaggery, mix until dissolved. 4. Allow the milk to cool to lukewarm temperature. 5. Add plain yogurt and mix well. 6. Add cardamom powder and mix. 7. Pour into earthen pots or ceramic bowls. 8. Cover and keep in a warm place for 8-10 hours or overnight to set. 9. Refrigerate for a few hours before serving."
modak,"1. For Filling: Heat ghee in a pan, add grated coconut and sauté for 2-3 minutes. Add grated jaggery and mix well. Cook on low heat until jaggery melts and mixture thickens. Add cardamom powder, nutmeg powder, and poppy seeds if using. Mix well and remove from heat. Allow to cool. 2. For Outer Covering: Boil water with salt and 1 tbsp ghee. Add rice flour gradually, stirring continuously to avoid lumps. Mix well until it forms a soft dough. Cover and keep aside for 5 minutes. Apply remaining ghee on your palms, take a small portion of the dough, and flatten it. Place a spoonful of filling in the center. Bring the edges together and seal, forming a modak shape with decorative ridges. 3. Steam the modaks in a steamer for 10-12 minutes. 4. Serve hot with a drizzle of ghee."
mysore_pak,"1. Sieve gram flour to remove any lumps. 2. Melt 2 tbsp ghee and mix with gram flour. 3. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 4. Add the gram flour mixture to the sugar syrup, stirring continuously to avoid lumps. 5. Cook on low heat, stirring continuously. 6. Add remaining ghee gradually, a few tablespoons at a time, stirring after each addition. 7. Continue cooking until the mixture thickens and starts leaving the sides of the pan. 8. Add cardamom powder and mix. 9. Grease a plate or tray with ghee. 10. Pour the mixture onto the greased plate. 11. Level the surface and allow to cool for 5 minutes. 12. Cut into squares or diamonds while still warm. 13. Allow to cool completely before removing the pieces."
naan,"1. Activate yeast in warm milk with sugar for 10 minutes. 2. Mix flour, salt, baking powder, and baking soda in a bowl. 3. Add yogurt, activated yeast mixture, and ghee. 4. Knead into a soft dough, adding warm water as needed. 5. Cover and let rise for 2-3 hours until doubled. 6. Divide into balls and roll into oval or round shapes. 7. For garlic naan, press minced garlic and coriander on top. 8. Cook on a hot tawa/skillet, then directly on flame or under a broiler until bubbles form and it's partially charred. 9. Brush with butter and serve hot."
navrattan_korma,"1. Boil mixed vegetables until just tender. Drain and set aside. 2. Cut paneer into cubes. 3. Soak cashew nuts in warm water for 30 minutes, then grind into a smooth paste. 4. Heat ghee and oil in a pan, add finely chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Add cashew paste and cook for 2-3 minutes. 9. Add boiled vegetables, paneer cubes, and raisins. 10. Add 1/2 cup water and simmer for 5-7 minutes. 11. Add cream and garam masala, simmer for another 2-3 minutes. 12. Garnish with fresh coriander leaves, sliced almonds, and cashews. 13. Serve hot with naan or rice."
palak_paneer,"1. Blanch spinach in hot water for 2 minutes, then put in cold water. 2. Blend blanched spinach into a smooth puree. 3. Cut paneer into cubes and lightly fry until golden. 4. Heat oil and butter in a pan, add cumin seeds. 5. Add chopped onions and sauté until translucent. 6. Add ginger, garlic, and green chilies, sauté for 1 minute. 7. Add chopped tomatoes and cook until soft. 8. Add spices and salt, mix well. 9. Add spinach puree and simmer for 5 minutes. 10. Add paneer cubes and cream, simmer for another 5 minutes."
paneer_butter_masala,"1. Cut paneer into cubes and lightly fry until golden. Set aside. 2. Soak cashew nuts in warm water for 30 minutes. 3. Blend soaked cashews, onions, tomatoes, and green chilies into a smooth paste. 4. Heat butter and oil in a pan, add cumin seeds. 5. Add ginger-garlic paste and sauté for 1 minute. 6. Add the blended paste and cook until oil separates. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Cook for 2-3 minutes, then add 1/2 cup water. 9. Add fried paneer cubes and simmer for 5-7 minutes. 10. Add cream, garam masala, dried fenugreek leaves, and sugar. 11. Simmer for another 2-3 minutes. 12. Garnish with fresh coriander leaves and serve hot with naan or rice."
phirni,"1. Wash and soak rice for 2 hours. 2. Drain and grind to a coarse paste. 3. Boil milk in a heavy-bottomed pan. 4. Add ground rice paste and cook on low heat, stirring continuously. 5. Cook until milk thickens and rice is cooked. 6. Add sugar and mix until dissolved. 7. Add cardamom powder, saffron strands, and half of the nuts. 8. Simmer for another 5 minutes. 9. Remove from heat, add rose water. 10. Pour into earthen pots or small bowls. 11. Garnish with remaining nuts. 12. Refrigerate for at least 2 hours before serving."
pithe,"1. Mix rice flour with a pinch of salt and enough warm water to form a soft dough. 2. Cover and let rest for 15 minutes. 3. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. 4. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 5. Divide dough into small balls. Roll each ball into a thin circle. 6. Place a spoonful of filling in the center. Fold into a half-moon shape and seal the edges. 7. Alternatively, shape into dumplings. 8. Heat milk with 2 cups water and bring to a boil. 9. Add the prepared pithes and cook until they float to the surface. 10. Remove, drain, and serve warm with a drizzle of ghee."
poha,"1. Wash poha in a colander and sprinkle with water. Set aside for 5 minutes until soft. 2. Heat oil in a pan, add mustard seeds. 3. When they splutter, add peanuts and fry until golden. 4. Add curry leaves and chopped green chilies. 5. Add chopped onions and sauté until translucent. 6. Add diced potatoes and green peas, cover and cook until tender. 7. Add turmeric powder and salt, mix well. 8. Add softened poha and mix gently. 9. Cover and cook on low heat for 2-3 minutes. 10. Add sugar and lemon juice, mix well. 11. Garnish with fresh coriander leaves and serve hot with coconut chutney."
poornalu,"1. Mix rice flour with a pinch of salt and enough warm water to form a soft dough. 2. Cover and let rest for 15 minutes. 3. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. 4. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 5. Divide dough into small balls. Roll each ball into a thin circle. 6. Place a spoonful of filling in the center. Bring edges together and seal to form a ball. 7. Flatten slightly with palm. 8. Heat oil and deep fry until golden brown on both sides. 9. Drain on paper towels and serve warm or at room temperature."
pootharekulu,"1. Make a thin batter with rice flour and water. 2. Heat a cloth stretched over a pot of boiling water. 3. Pour a small amount of batter on the hot cloth and spread it thinly. 4. When cooked, carefully peel off the thin rice paper. 5. Repeat to make multiple sheets. 6. In a separate pan, melt ghee and add powdered sugar, cardamom powder, and chopped nuts. 7. Place a rice paper sheet on a clean surface, sprinkle with the sugar-ghee mixture. 8. Fold the sheet multiple times to create layers. 9. Repeat with remaining sheets. 10. Allow to cool before serving."
qubani_ka_meetha,"1. Wash and soak dried apricots in water overnight. 2. Pressure cook soaked apricots with the same water until soft. 3. Remove seeds from cooked apricots. 4. Mash half of the apricots and keep the rest whole. 5. Add sugar, cardamom powder, and saffron to the apricot mixture. 6. Cook on low heat until the mixture thickens slightly. 7. Remove from heat and allow to cool. 8. Garnish with sliced almonds. 9. Serve chilled with fresh cream or ice cream on top."
rabri,"1. Boil milk in a wide, heavy-bottomed pan. 2. Reduce heat to low and simmer, stirring occasionally. 3. As cream forms on top, gently push it to the sides of the pan. 4. Continue this process for 1-1.5 hours until milk reduces to one-third of its original volume. 5. Add sugar and mix until dissolved. 6. Add cardamom powder, saffron strands, and half of the nuts. 7. Simmer for another 5 minutes. 8. Remove from heat, add rose water. 9. Garnish with remaining nuts. 10. Serve chilled."
ras_malai,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Divide into small balls and flatten slightly. 6. Make sugar syrup by boiling sugar with 2 cups water. 7. Add flattened chenna balls to the boiling syrup. 8. Cover and cook for 15 minutes. 9. For rabri, boil milk in a wide pan and reduce to half, following the rabri recipe above. 10. Add cardamom, saffron, and half of the nuts to the rabri. 11. Add cooked chenna balls to the rabri. 12. Refrigerate for a few hours. 13. Garnish with remaining nuts and rose water before serving."
rasgulla,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Divide into small balls, ensuring no cracks. 6. In a pressure cooker, make syrup with sugar, water, and cardamom pods. 7. When the syrup starts boiling, add the cheese balls. 8. Close the lid (without weight) and cook on medium heat for 8-10 minutes. 9. Turn off heat, add rose water, and let cool. 10. Refrigerate for a few hours before serving."
sandesh,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 5-7 minutes until smooth. 5. Transfer to a heavy-bottomed pan, add sugar, and cook on low heat for 5-7 minutes, stirring continuously. 6. Add cardamom powder and saffron strands, mix well. 7. Remove from heat and allow to cool slightly. 8. Divide into small portions and shape as desired. 9. Garnish with chopped pistachios. 10. Refrigerate for 1-2 hours before serving."
shankarpali,"1. Mix flour, semolina, sugar, cardamom powder, and salt in a bowl. 2. Add ghee and mix until crumbly. 3. Add milk gradually to form a firm dough. 4. Cover and let rest for 15-30 minutes. 5. Roll the dough into a thick sheet. 6. Cut into small diamond shapes. 7. Heat oil and deep fry the diamonds on medium heat until golden brown. 8. Drain on paper towels and allow to cool completely. 9. Store in an airtight container."
sheer_korma,"1. Break vermicelli into small pieces if not already broken. 2. Heat ghee in a pan, add vermicelli and fry until golden brown. 3. Add chopped dates, nuts, and raisins. Sauté for 1-2 minutes. 4. Add milk and bring to a boil. 5. Reduce heat and simmer until vermicelli is cooked and milk thickens slightly. 6. Add sugar and mix until dissolved. 7. Add cardamom powder and saffron strands. 8. Simmer for another 5 minutes. 9. Remove from heat, add rose water. 10. Serve hot or chilled."
sheera,"1. Heat ghee in a pan, add semolina and roast on low heat until aromatic and light golden brown. 2. Add raisins and sauté until they puff up. 3. Add water carefully (it will splutter) and bring to a boil. 4. Reduce heat and cook until water is absorbed and semolina is cooked. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and saffron strands. 7. Cook for another 2-3 minutes until the mixture thickens and leaves the sides of the pan. 8. Garnish with sliced almonds and pistachios. 9. Serve hot."
shrikhand,1. Hang yogurt in a muslin cloth for 4-6 hours to drain all the whey. 2. Transfer the hung yogurt (chakka) to a bowl. 3. Add sugar and mix well until smooth. 4. Add cardamom powder and saffron milk. 5. Mix thoroughly until well combined. 6. Refrigerate for at least 2 hours. 7. Garnish with sliced almonds and pistachios before serving. 8. Serve chilled.
sohan_halwa,"1. Mix cornflour with 1/2 cup water to make a smooth paste. 2. Boil remaining water and milk together. 3. Slowly add the cornflour paste to the boiling liquid, stirring continuously to avoid lumps. 4. Cook until the mixture thickens. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and saffron strands. 7. Add ghee gradually, a few tablespoons at a time, stirring after each addition. 8. Continue cooking until the mixture thickens and ghee starts separating from the sides. 9. Grease a plate or tray with ghee. 10. Pour the mixture onto the greased plate. 11. Garnish with sliced almonds and pistachios. 12. Allow to cool and set. 13. Cut into squares or diamonds and serve."
sohan_papdi,"1. Heat ghee in a pan, add gram flour and all-purpose flour. 2. Roast on low heat until aromatic and light golden brown. 3. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 4. Add cardamom powder to the syrup. 5. Add the roasted flour mixture to the syrup, stirring continuously. 6. Cook until the mixture thickens and starts leaving the sides of the pan. 7. Grease a plate or tray with ghee. 8. Pour the mixture onto the greased plate. 9. Garnish with chopped pistachios and almonds. 10. When slightly cool but still warm, use a fork to pull and stretch the mixture to create a flaky texture. 11. Allow to cool completely. 12. Break into pieces and serve."
sutar_feni,"1. Mix flour with 2 tbsp ghee and enough water to form a firm dough. 2. Cover and let rest for 30 minutes. 3. Divide into small balls. 4. Roll each ball into a thin sheet. 5. Apply a thin layer of ghee, fold, and roll again. 6. Repeat this process 3-4 times. 7. Feed the dough through a special feni maker or press through a large-holed colander to create thin vermicelli-like strands. 8. Deep fry these strands in hot ghee until golden and crisp. 9. Make sugar syrup by boiling sugar with 1 cup water until it reaches one-string consistency. 10. Add cardamom powder to the syrup. 11. Dip fried feni in hot syrup for 2-3 minutes. 12. Remove and allow to cool. 13. Garnish with chopped pistachios and serve."
unni_appam,"1. Melt jaggery with 1/4 cup water and strain to remove impurities. 2. Mix rice flour, mashed bananas, melted jaggery, grated coconut, cardamom powder, cumin powder, and salt to form a thick batter. 3. Let the batter rest for 15-30 minutes. 4. Heat ghee in a special unni appam pan or a regular appam pan. 5. Pour a spoonful of batter into each mold. 6. Cook on medium heat until the edges turn golden brown. 7. Flip and cook the other side until golden. 8. Remove and drain on paper towels. 9. Serve warm."
