food_name,region,category,ingredients,preparation_steps,cooking_time_minutes
makki_di_roti_sarson_da_saag,Punjab,Main Course,"For Sarson da Saag: Mustard greens (500g), Spinach (250g), Bathua/Chenopodium leaves (100g, optional), Ginger (1 inch), Garlic (6 cloves), Green chilies (3-4), Onion (1 large), Tomatoes (2 medium), Makki ka atta/Cornmeal (2 tbsp), Ghee (3 tbsp), Cumin seeds (1 tsp), Red chili powder (1/2 tsp), Salt (to taste). For Makki di Roti: Makki ka atta/Cornmeal (2 cups), Water (as needed), Salt (to taste), Ghee (for serving)","1. For Sarson da Saag: Wash all greens thoroughly. Chop and pressure cook with ginger, garlic, and green chilies until soft. Blend coarsely. Heat ghee in a pan, add cumin seeds. Add chopped onions and sauté until golden. Add chopped tomatoes and cook until soft. Add blended greens, cornmeal, red chili powder, and salt. Simmer for 15-20 minutes, stirring occasionally. 2. For Makki di Roti: Mix cornmeal with salt and enough water to form a firm dough. Divide into balls. Take a ball, flatten slightly, and place on a greased plastic sheet. Pat and spread into a round roti using wet fingers. Carefully transfer to a hot tawa/griddle. Cook until brown spots appear on both sides. Apply ghee. 3. Serve hot makki di roti with sarson da saag topped with a dollop of butter or ghee.",60
malapua,Bihar,Sweet,"All-purpose flour (1 cup), Semolina (1/4 cup), Milk (1/2 cup), Mashed ripe banana (1), Fennel seeds (1 tsp), Cardamom powder (1/2 tsp), Baking powder (1/4 tsp), Sugar (1.5 cups), Water (1 cup), Saffron strands (a few), Ghee (for deep frying), Pistachios (chopped, for garnish)","1. Mix flour, semolina, mashed banana, fennel seeds, cardamom powder, and baking powder in a bowl. 2. Add milk gradually to form a thick batter. 3. Let the batter rest for 1-2 hours. 4. Make sugar syrup by boiling sugar with water and saffron until it reaches one-string consistency. 5. Heat ghee in a pan. 6. Pour a ladleful of batter and spread slightly to form a small pancake. 7. Fry on medium heat until golden brown on both sides. 8. Remove and immediately soak in warm sugar syrup for 1-2 minutes. 9. Garnish with chopped pistachios and serve warm or at room temperature.",45
misi_roti,Punjab,Bread,"Whole wheat flour (2 cups), Gram flour (1/2 cup), Onion (1 small), Green chilies (2), Ginger (1/2 inch), Ajwain/Carom seeds (1 tsp), Red chili powder (1/2 tsp), Coriander powder (1 tsp), Garam masala (1/2 tsp), Fresh coriander leaves (2 tbsp chopped), Salt (to taste), Ghee (2 tbsp plus more for brushing), Water (as needed)","1. Mix whole wheat flour, gram flour, finely chopped onion, green chilies, ginger, ajwain, red chili powder, coriander powder, garam masala, fresh coriander leaves, salt, and ghee in a bowl. 2. Add water gradually and knead into a firm dough. 3. Cover and let rest for 15-30 minutes. 4. Divide into small balls. 5. Roll each ball into a thick circle. 6. Heat a tawa/griddle and place the rolled roti on it. 7. Cook until small bubbles appear, flip and cook the other side. 8. Apply ghee on both sides and cook until brown spots appear. 9. Serve hot with yogurt, pickle, or vegetable curry.",30
misti_doi,Bengal,Sweet,"Milk (1 liter), Sugar (1/2 cup), Jaggery (1/2 cup), Plain yogurt (2 tbsp), Cardamom powder (1/2 tsp)","1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer until milk reduces to half its volume. 3. Add sugar and jaggery, mix until dissolved. 4. Allow the milk to cool to lukewarm temperature. 5. Add plain yogurt and mix well. 6. Add cardamom powder and mix. 7. Pour into earthen pots or ceramic bowls. 8. Cover and keep in a warm place for 8-10 hours or overnight to set. 9. Refrigerate for a few hours before serving.",30
modak,Maharashtra,Sweet,"For Outer Covering: Rice flour (2 cups), Water (2 cups), Ghee (2 tbsp), Salt (a pinch). For Filling: Fresh coconut (2 cups grated), Jaggery (1.5 cups grated), Cardamom powder (1/2 tsp), Nutmeg powder (a pinch), Poppy seeds (1 tbsp, optional), Ghee (1 tbsp)","1. For Filling: Heat ghee in a pan, add grated coconut and sauté for 2-3 minutes. Add grated jaggery and mix well. Cook on low heat until jaggery melts and mixture thickens. Add cardamom powder, nutmeg powder, and poppy seeds if using. Mix well and remove from heat. Allow to cool. 2. For Outer Covering: Boil water with salt and 1 tbsp ghee. Add rice flour gradually, stirring continuously to avoid lumps. Mix well until it forms a soft dough. Cover and keep aside for 5 minutes. Apply remaining ghee on your palms, take a small portion of the dough, and flatten it. Place a spoonful of filling in the center. Bring the edges together and seal, forming a modak shape with decorative ridges. 3. Steam the modaks in a steamer for 10-12 minutes. 4. Serve hot with a drizzle of ghee.",45
mysore_pak,Karnataka,Sweet,"Gram flour (1 cup), Ghee (1.5 cups), Sugar (1.5 cups), Water (3/4 cup), Cardamom powder (1/2 tsp)","1. Sieve gram flour to remove any lumps. 2. Melt 2 tbsp ghee and mix with gram flour. 3. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 4. Add the gram flour mixture to the sugar syrup, stirring continuously to avoid lumps. 5. Cook on low heat, stirring continuously. 6. Add remaining ghee gradually, a few tablespoons at a time, stirring after each addition. 7. Continue cooking until the mixture thickens and starts leaving the sides of the pan. 8. Add cardamom powder and mix. 9. Grease a plate or tray with ghee. 10. Pour the mixture onto the greased plate. 11. Level the surface and allow to cool for 5 minutes. 12. Cut into squares or diamonds while still warm. 13. Allow to cool completely before removing the pieces.",30
naan,North India,Bread,"All-purpose flour (2 cups), Yogurt (1/2 cup), Warm milk (1/4 cup), Warm water (as needed), Active dry yeast (1 tsp), Sugar (1 tsp), Salt (1/2 tsp), Baking powder (1/4 tsp), Baking soda (1/4 tsp), Ghee/Butter (2 tbsp plus more for brushing), Garlic (minced, optional), Coriander leaves (chopped, optional)","1. Activate yeast in warm milk with sugar for 10 minutes. 2. Mix flour, salt, baking powder, and baking soda in a bowl. 3. Add yogurt, activated yeast mixture, and ghee. 4. Knead into a soft dough, adding warm water as needed. 5. Cover and let rise for 2-3 hours until doubled. 6. Divide into balls and roll into oval or round shapes. 7. For garlic naan, press minced garlic and coriander on top. 8. Cook on a hot tawa/skillet, then directly on flame or under a broiler until bubbles form and it's partially charred. 9. Brush with butter and serve hot.",150
navrattan_korma,North India,Vegetarian Main,"Mixed vegetables (carrots, beans, peas, potatoes, cauliflower - 3 cups), Paneer (200g), Cashew nuts (15-20), Raisins (2 tbsp), Onions (2 medium), Tomatoes (2 medium), Ginger-garlic paste (1 tbsp), Green chilies (2), Turmeric powder (1/4 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Garam masala (1 tsp), Cream (1/2 cup), Ghee (3 tbsp), Oil (2 tbsp), Salt (to taste), Fresh coriander leaves (for garnish), Almonds and cashews (sliced, for garnish)","1. Boil mixed vegetables until just tender. Drain and set aside. 2. Cut paneer into cubes. 3. Soak cashew nuts in warm water for 30 minutes, then grind into a smooth paste. 4. Heat ghee and oil in a pan, add finely chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Add cashew paste and cook for 2-3 minutes. 9. Add boiled vegetables, paneer cubes, and raisins. 10. Add 1/2 cup water and simmer for 5-7 minutes. 11. Add cream and garam masala, simmer for another 2-3 minutes. 12. Garnish with fresh coriander leaves, sliced almonds, and cashews. 13. Serve hot with naan or rice.",45
palak_paneer,North India,Vegetarian Main,"Spinach (500g), Paneer (250g), Onion (1 medium), Tomato (1 medium), Ginger (1 inch), Garlic (4 cloves), Green chilies (2), Cumin seeds (1 tsp), Garam masala (1/2 tsp), Turmeric powder (1/4 tsp), Red chili powder (1/2 tsp), Cream (2 tbsp), Butter (2 tbsp), Oil (2 tbsp), Salt (to taste)","1. Blanch spinach in hot water for 2 minutes, then put in cold water. 2. Blend blanched spinach into a smooth puree. 3. Cut paneer into cubes and lightly fry until golden. 4. Heat oil and butter in a pan, add cumin seeds. 5. Add chopped onions and sauté until translucent. 6. Add ginger, garlic, and green chilies, sauté for 1 minute. 7. Add chopped tomatoes and cook until soft. 8. Add spices and salt, mix well. 9. Add spinach puree and simmer for 5 minutes. 10. Add paneer cubes and cream, simmer for another 5 minutes.",35
paneer_butter_masala,North India,Vegetarian Main,"Paneer (250g), Onions (2 medium), Tomatoes (3 medium), Cashew nuts (15-20), Ginger-garlic paste (1 tbsp), Green chilies (2), Butter (4 tbsp), Oil (2 tbsp), Cumin seeds (1 tsp), Turmeric powder (1/4 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Garam masala (1 tsp), Dried fenugreek leaves (1 tbsp), Cream (1/4 cup), Sugar (1 tsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Cut paneer into cubes and lightly fry until golden. Set aside. 2. Soak cashew nuts in warm water for 30 minutes. 3. Blend soaked cashews, onions, tomatoes, and green chilies into a smooth paste. 4. Heat butter and oil in a pan, add cumin seeds. 5. Add ginger-garlic paste and sauté for 1 minute. 6. Add the blended paste and cook until oil separates. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Cook for 2-3 minutes, then add 1/2 cup water. 9. Add fried paneer cubes and simmer for 5-7 minutes. 10. Add cream, garam masala, dried fenugreek leaves, and sugar. 11. Simmer for another 2-3 minutes. 12. Garnish with fresh coriander leaves and serve hot with naan or rice.",40
phirni,North India,Sweet,"Basmati rice (1/2 cup), Milk (1 liter), Sugar (3/4 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Rose water (1/2 tsp)","1. Wash and soak rice for 2 hours. 2. Drain and grind to a coarse paste. 3. Boil milk in a heavy-bottomed pan. 4. Add ground rice paste and cook on low heat, stirring continuously. 5. Cook until milk thickens and rice is cooked. 6. Add sugar and mix until dissolved. 7. Add cardamom powder, saffron strands, and half of the nuts. 8. Simmer for another 5 minutes. 9. Remove from heat, add rose water. 10. Pour into earthen pots or small bowls. 11. Garnish with remaining nuts. 12. Refrigerate for at least 2 hours before serving.",45
pithe,Bengal,Sweet,"Rice flour (2 cups), Grated coconut (2 cups), Jaggery (1.5 cups), Cardamom powder (1/2 tsp), Milk (1/2 cup), Water (as needed), Ghee (2 tbsp)","1. Mix rice flour with a pinch of salt and enough warm water to form a soft dough. 2. Cover and let rest for 15 minutes. 3. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. 4. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 5. Divide dough into small balls. Roll each ball into a thin circle. 6. Place a spoonful of filling in the center. Fold into a half-moon shape and seal the edges. 7. Alternatively, shape into dumplings. 8. Heat milk with 2 cups water and bring to a boil. 9. Add the prepared pithes and cook until they float to the surface. 10. Remove, drain, and serve warm with a drizzle of ghee.",60
poha,Maharashtra,Breakfast,"Flattened rice/Poha (2 cups), Potatoes (2 medium), Onions (2 medium), Green peas (1/2 cup), Peanuts (1/4 cup), Curry leaves (10-12), Green chilies (2-3), Mustard seeds (1 tsp), Turmeric powder (1/2 tsp), Sugar (1 tsp), Lemon juice (2 tbsp), Oil (3 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Wash poha in a colander and sprinkle with water. Set aside for 5 minutes until soft. 2. Heat oil in a pan, add mustard seeds. 3. When they splutter, add peanuts and fry until golden. 4. Add curry leaves and chopped green chilies. 5. Add chopped onions and sauté until translucent. 6. Add diced potatoes and green peas, cover and cook until tender. 7. Add turmeric powder and salt, mix well. 8. Add softened poha and mix gently. 9. Cover and cook on low heat for 2-3 minutes. 10. Add sugar and lemon juice, mix well. 11. Garnish with fresh coriander leaves and serve hot with coconut chutney.",25
poornalu,Andhra Pradesh,Sweet,"Rice flour (2 cups), Jaggery (1.5 cups), Grated coconut (1 cup), Cardamom powder (1/2 tsp), Ghee (2 tbsp), Water (as needed), Oil (for deep frying)","1. Mix rice flour with a pinch of salt and enough warm water to form a soft dough. 2. Cover and let rest for 15 minutes. 3. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. 4. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 5. Divide dough into small balls. Roll each ball into a thin circle. 6. Place a spoonful of filling in the center. Bring edges together and seal to form a ball. 7. Flatten slightly with palm. 8. Heat oil and deep fry until golden brown on both sides. 9. Drain on paper towels and serve warm or at room temperature.",45
pootharekulu,Andhra Pradesh,Sweet,"Rice flour (2 cups), Sugar (1.5 cups), Ghee (1/4 cup), Cardamom powder (1/2 tsp), Cashew nuts (2 tbsp chopped), Almonds (2 tbsp sliced)","1. Make a thin batter with rice flour and water. 2. Heat a cloth stretched over a pot of boiling water. 3. Pour a small amount of batter on the hot cloth and spread it thinly. 4. When cooked, carefully peel off the thin rice paper. 5. Repeat to make multiple sheets. 6. In a separate pan, melt ghee and add powdered sugar, cardamom powder, and chopped nuts. 7. Place a rice paper sheet on a clean surface, sprinkle with the sugar-ghee mixture. 8. Fold the sheet multiple times to create layers. 9. Repeat with remaining sheets. 10. Allow to cool before serving.",60
qubani_ka_meetha,Hyderabad,Sweet,"Dried apricots (250g), Sugar (1 cup), Water (2 cups), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp blanched and sliced), Fresh cream or ice cream (for serving)","1. Wash and soak dried apricots in water overnight. 2. Pressure cook soaked apricots with the same water until soft. 3. Remove seeds from cooked apricots. 4. Mash half of the apricots and keep the rest whole. 5. Add sugar, cardamom powder, and saffron to the apricot mixture. 6. Cook on low heat until the mixture thickens slightly. 7. Remove from heat and allow to cool. 8. Garnish with sliced almonds. 9. Serve chilled with fresh cream or ice cream on top.",30
rabri,North India,Sweet,"Milk (1 liter), Sugar (1/2 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Rose water (1/2 tsp)","1. Boil milk in a wide, heavy-bottomed pan. 2. Reduce heat to low and simmer, stirring occasionally. 3. As cream forms on top, gently push it to the sides of the pan. 4. Continue this process for 1-1.5 hours until milk reduces to one-third of its original volume. 5. Add sugar and mix until dissolved. 6. Add cardamom powder, saffron strands, and half of the nuts. 7. Simmer for another 5 minutes. 8. Remove from heat, add rose water. 9. Garnish with remaining nuts. 10. Serve chilled.",90
ras_malai,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (1 cup), Milk (1 liter for rabri), Cardamom pods (4-5), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Rose water (1 tsp)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Divide into small balls and flatten slightly. 6. Make sugar syrup by boiling sugar with 2 cups water. 7. Add flattened chenna balls to the boiling syrup. 8. Cover and cook for 15 minutes. 9. For rabri, boil milk in a wide pan and reduce to half, following the rabri recipe above. 10. Add cardamom, saffron, and half of the nuts to the rabri. 11. Add cooked chenna balls to the rabri. 12. Refrigerate for a few hours. 13. Garnish with remaining nuts and rose water before serving.",120
rasgulla,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (1.5 cups), Water (4 cups), Cardamom pods (4), Rose water (1 tsp)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Divide into small balls, ensuring no cracks. 6. In a pressure cooker, make syrup with sugar, water, and cardamom pods. 7. When the syrup starts boiling, add the cheese balls. 8. Close the lid (without weight) and cook on medium heat for 8-10 minutes. 9. Turn off heat, add rose water, and let cool. 10. Refrigerate for a few hours before serving.",60
sandesh,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (1/2 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Pistachios (2 tbsp chopped)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 5-7 minutes until smooth. 5. Transfer to a heavy-bottomed pan, add sugar, and cook on low heat for 5-7 minutes, stirring continuously. 6. Add cardamom powder and saffron strands, mix well. 7. Remove from heat and allow to cool slightly. 8. Divide into small portions and shape as desired. 9. Garnish with chopped pistachios. 10. Refrigerate for 1-2 hours before serving.",30
shankarpali,Maharashtra,Snack,"All-purpose flour (2 cups), Semolina (1/4 cup), Sugar (1/2 cup), Ghee (1/4 cup), Milk (as needed), Cardamom powder (1/2 tsp), Salt (a pinch), Oil (for deep frying)","1. Mix flour, semolina, sugar, cardamom powder, and salt in a bowl. 2. Add ghee and mix until crumbly. 3. Add milk gradually to form a firm dough. 4. Cover and let rest for 15-30 minutes. 5. Roll the dough into a thick sheet. 6. Cut into small diamond shapes. 7. Heat oil and deep fry the diamonds on medium heat until golden brown. 8. Drain on paper towels and allow to cool completely. 9. Store in an airtight container.",45
sheer_korma,Hyderabad,Sweet,"Vermicelli (1 cup), Milk (1 liter), Sugar (3/4 cup), Ghee (3 tbsp), Dates (10-12 chopped), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Cashew nuts (2 tbsp), Raisins (2 tbsp), Cardamom powder (1/2 tsp), Saffron strands (a few), Rose water (1 tsp)","1. Break vermicelli into small pieces if not already broken. 2. Heat ghee in a pan, add vermicelli and fry until golden brown. 3. Add chopped dates, nuts, and raisins. Sauté for 1-2 minutes. 4. Add milk and bring to a boil. 5. Reduce heat and simmer until vermicelli is cooked and milk thickens slightly. 6. Add sugar and mix until dissolved. 7. Add cardamom powder and saffron strands. 8. Simmer for another 5 minutes. 9. Remove from heat, add rose water. 10. Serve hot or chilled.",30
sheera,Maharashtra,Sweet,"Semolina (1 cup), Ghee (1/2 cup), Sugar (3/4 cup), Water (2.5 cups), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Raisins (2 tbsp)","1. Heat ghee in a pan, add semolina and roast on low heat until aromatic and light golden brown. 2. Add raisins and sauté until they puff up. 3. Add water carefully (it will splutter) and bring to a boil. 4. Reduce heat and cook until water is absorbed and semolina is cooked. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and saffron strands. 7. Cook for another 2-3 minutes until the mixture thickens and leaves the sides of the pan. 8. Garnish with sliced almonds and pistachios. 9. Serve hot.",20
shrikhand,Gujarat,Sweet,"Yogurt (1 kg), Sugar (3/4 cup), Cardamom powder (1/2 tsp), Saffron strands (a few soaked in 2 tbsp warm milk), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped)","1. Hang yogurt in a muslin cloth for 4-6 hours to drain all the whey. 2. Transfer the hung yogurt (chakka) to a bowl. 3. Add sugar and mix well until smooth. 4. Add cardamom powder and saffron milk. 5. Mix thoroughly until well combined. 6. Refrigerate for at least 2 hours. 7. Garnish with sliced almonds and pistachios before serving. 8. Serve chilled.",360
sohan_halwa,North India,Sweet,"Cornflour (1 cup), Ghee (1 cup), Sugar (1.5 cups), Water (2 cups), Milk (1/2 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped)","1. Mix cornflour with 1/2 cup water to make a smooth paste. 2. Boil remaining water and milk together. 3. Slowly add the cornflour paste to the boiling liquid, stirring continuously to avoid lumps. 4. Cook until the mixture thickens. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and saffron strands. 7. Add ghee gradually, a few tablespoons at a time, stirring after each addition. 8. Continue cooking until the mixture thickens and ghee starts separating from the sides. 9. Grease a plate or tray with ghee. 10. Pour the mixture onto the greased plate. 11. Garnish with sliced almonds and pistachios. 12. Allow to cool and set. 13. Cut into squares or diamonds and serve.",45
sohan_papdi,North India,Sweet,"Gram flour (1 cup), All-purpose flour (1/2 cup), Ghee (1 cup), Sugar (1.5 cups), Water (3/4 cup), Cardamom powder (1/2 tsp), Pistachios (2 tbsp chopped), Almonds (2 tbsp sliced)","1. Heat ghee in a pan, add gram flour and all-purpose flour. 2. Roast on low heat until aromatic and light golden brown. 3. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 4. Add cardamom powder to the syrup. 5. Add the roasted flour mixture to the syrup, stirring continuously. 6. Cook until the mixture thickens and starts leaving the sides of the pan. 7. Grease a plate or tray with ghee. 8. Pour the mixture onto the greased plate. 9. Garnish with chopped pistachios and almonds. 10. When slightly cool but still warm, use a fork to pull and stretch the mixture to create a flaky texture. 11. Allow to cool completely. 12. Break into pieces and serve.",40
sutar_feni,Gujarat,Sweet,"All-purpose flour (2 cups), Ghee (1/4 cup plus more for deep frying), Sugar (1.5 cups), Water (1 cup), Cardamom powder (1/2 tsp), Pistachios (2 tbsp chopped)","1. Mix flour with 2 tbsp ghee and enough water to form a firm dough. 2. Cover and let rest for 30 minutes. 3. Divide into small balls. 4. Roll each ball into a thin sheet. 5. Apply a thin layer of ghee, fold, and roll again. 6. Repeat this process 3-4 times. 7. Feed the dough through a special feni maker or press through a large-holed colander to create thin vermicelli-like strands. 8. Deep fry these strands in hot ghee until golden and crisp. 9. Make sugar syrup by boiling sugar with 1 cup water until it reaches one-string consistency. 10. Add cardamom powder to the syrup. 11. Dip fried feni in hot syrup for 2-3 minutes. 12. Remove and allow to cool. 13. Garnish with chopped pistachios and serve.",60
unni_appam,Kerala,Sweet,"Rice flour (1 cup), Ripe banana (2 mashed), Jaggery (1 cup grated), Coconut (1/2 cup grated), Cardamom powder (1/2 tsp), Cumin powder (1/4 tsp), Salt (a pinch), Ghee (for deep frying)","1. Melt jaggery with 1/4 cup water and strain to remove impurities. 2. Mix rice flour, mashed bananas, melted jaggery, grated coconut, cardamom powder, cumin powder, and salt to form a thick batter. 3. Let the batter rest for 15-30 minutes. 4. Heat ghee in a special unni appam pan or a regular appam pan. 5. Pour a spoonful of batter into each mold. 6. Cook on medium heat until the edges turn golden brown. 7. Flip and cook the other side until golden. 8. Remove and drain on paper towels. 9. Serve warm.",30